delta,theta,alpha,beta,mean,std,label
1562.9553249846635,315.7517472084849,174.60477585192154,71.98597403325907,11.135174715544405,59.689602320372806,0
1605.5712367563851,497.83564649139225,154.95130008207872,196.32482005927469,6.4004849248864355,64.16691104271135,0
1500.205361120963,781.2958975512922,214.4380604348151,111.09045956377078,0.770969507395975,58.60501602992345,0
1394.050057363234,572.5045537790663,88.95510448852856,84.18318567611695,8.222004003549367,52.54199386413151,0
4443.647741234017,1474.9523690780338,172.99297014855367,97.53639046791812,0.6623023764070144,79.32317549462017,0
1880.8121908052617,901.3011785688177,160.58812397231117,125.01911471415153,2.0048516571338575,56.88097747007346,0
899.4081229871382,270.3400763396997,146.1599416649513,123.01778371012522,-10.442407194431969,44.74404534514705,0
637.6709615320098,980.3993104160647,263.8115994848601,106.31593004015157,0.9169523461856954,48.4563560307121,0
745.1253631356561,286.67568382250516,236.47397881019432,193.28443972367575,-3.807418942668636,44.553581333090555,0
1047.4554542563055,525.1228185389526,193.18507636840468,141.10262827881667,0.6090426127460629,50.16074362903204,0
437.0994473979506,240.7875448404654,162.75770803180097,121.63042542093696,2.539144629978788,37.066538867511404,0
2354.377222154813,573.4646747569612,333.640889996105,128.21459064327394,8.013171957247433,64.96719064723983,0
917.0375700992217,364.068755865537,181.14637289574998,171.568764398067,1.3459465400369899,39.90710244419825,0
1175.3687317023066,415.4898301972818,220.15856699123202,112.07669089617933,-4.652993058144426,51.048147996692265,0
379.2303599466114,832.2130487612151,169.91814755625228,94.17467571641905,4.175578722634719,45.94743858019661,0
734.1559442761114,380.98822983330734,66.62895506933963,165.78463960608843,-0.20472173269357508,51.764039080445855,0
3512.863159472875,938.7235957753951,328.9483368197512,131.07030413963764,3.1541774234196325,70.6980886618176,1
2719.5282831531063,212.0784688304555,303.3798400102437,130.03544027576189,6.668475654248876,74.93791816007207,1
3936.0886965802115,566.9425286841724,570.39994268616,160.14221553780516,-22.056038212460635,87.18131896676701,1
3418.5777451088256,511.8545884576422,228.55339099825875,138.74792985642767,11.074836384521648,77.72993598857707,1
1689.6198681819596,424.4914638652136,305.34590164372,144.92252392378043,23.24534849750677,82.87207177275675,1
2338.524895007573,845.046460016723,209.96560583522376,145.4920044952081,-9.29190487827971,60.44438994261089,1
798.0850660850633,422.80507187181274,488.7060070228353,265.6600124992219,-14.464614722496409,68.16778905109685,1
3499.2301273806943,343.84271793490063,361.173440196206,323.36916625515624,-27.715129743890397,114.69394161359574,1
1922.6154080752729,666.0627154970306,342.5764271699894,138.73322888808985,22.779230275561606,88.01383617795847,1
1383.1676010845579,444.8332787586342,169.37301454663563,97.51047933368017,-12.171397102834769,61.55483956466195,1
1076.3221850427462,529.5402216314503,139.78135897679567,113.38649251460514,-4.653946601764706,44.02395624081802,1
2065.2875923737215,585.3595465740111,223.47240194969692,90.54649108842023,-24.876490166227907,87.31728335481624,1
1964.5361542578094,852.075561885001,409.9550208168645,135.8696637600632,13.592377693891073,64.6320640817548,1
3558.7598454173553,690.9767867709256,229.41799509938141,142.5444443591776,17.340822606644274,85.47277917184144,1
1631.2504924727714,539.9595611136963,147.61937061477113,105.19075482751285,-1.0622494353612604,55.71915093854677,1
673.9321133136204,376.81767276400177,230.5902167925338,128.8100317887715,-20.119643021563157,65.69043229093242,1
1113.689035124597,289.4584522633221,104.36561753998649,117.26634070788506,-7.91840345927039,45.06261891941101,1
1541.3866857649841,210.63722326423272,229.2527220750202,141.0453511211392,18.438171513456,67.41845422084111,1
2334.001177617444,696.3729571953936,201.89686357363763,134.56670719967025,8.516077998519552,69.23505116041125,1
2120.3908917028975,285.28546264085537,184.81648958191852,125.95476920398414,-7.489606617947226,63.671417315317825,1
1871.9710253415174,348.6654326641916,176.86795885412033,99.24267837478303,-14.523158972326417,68.25597813240536,1
2648.832838543238,227.91658776048988,223.45605083504384,111.77542482742962,12.524572980066448,81.03324108781432,1
2289.1605970798655,371.93022555629057,300.7427243036567,97.47583770730617,-3.4929096301222162,63.82315325109382,1
890.8140831857565,517.1376876406666,181.72259438541346,92.4708851845607,-1.2577350243885421,46.71430195649898,1
854.6173477818343,296.95239190541236,105.86829853809307,128.74799302591805,-22.464482486258802,78.42286226691701,1
618.4923678818762,427.0867274425792,157.03199425526105,76.73846693369923,9.908969733214462,43.24011086153281,1
558.1589708427194,297.23778053402464,297.2570890495418,112.7107560293137,14.71733503019327,59.62701219766703,1
653.6369767696783,432.6815218482707,226.59906351014985,117.85212594243202,5.5783773226173565,41.99242394309631,1
1285.290237758482,407.21821808731255,80.50256211539707,135.4589038856821,-8.901181246369388,53.96504911832324,1
4628.5683897162435,568.7813068672244,184.3880262808296,152.03067242625139,10.886271028831978,77.34754145322813,1
1165.9659291426833,486.5950350726787,204.6410945115551,166.58341145709932,15.986277210787769,62.29987572696005,1
931.0419153519562,412.03587100794897,282.13831376829495,113.4068186777931,-2.1668045062977104,47.7684431744104,1
1313.0740320332447,623.8575021872188,228.55185378051246,95.83124485034047,-16.421827380246402,59.782153333108276,1
247.98894502270736,240.68759779419943,164.97879861541068,129.05156578259815,-2.3509513162586613,30.438170846895186,1
979.7886023625847,583.9414172956765,100.4886813477355,99.55911169404759,9.724970754369986,50.50212142548762,1
1236.0079918299475,320.4754781924603,107.08235100894717,93.98080598362324,4.771443418971799,52.74413619752165,1
3164.5787152086496,586.2791977200791,230.757029763737,179.73204612807532,-5.857555810985389,65.1215227032004,1
519.5176004376515,475.121876560735,93.6923509069438,62.17660376226041,-0.5167054201379773,50.04765596247544,1
556.9910790593865,358.4429244962704,194.35598075212516,71.66977845325749,14.311977288617031,51.48552685750185,1
783.5018933691618,183.1245073184219,82.14925757978325,121.03501072631614,0.7475560610817098,39.46100848663874,1
1572.4274924014508,266.038114106671,135.2826862078213,67.48916365786118,-6.261460851232412,52.59508282361569,1
1842.3532970049216,308.00487308403905,215.9701662074904,90.34961136501322,-12.258614295102063,62.72130618085348,1
1191.0633876339098,275.7175189305447,136.40039883453508,71.86973882827249,10.85690306212057,52.2667793918386,1
1763.5711474233717,626.052633959541,154.6383111469952,92.18506960442959,-12.676218871549032,59.34497885662756,1
3063.0143001195156,264.5818519940518,251.89242458943892,94.5247173947583,-8.10856731395303,63.23809891227019,1
